QBarcode,Sex,DOBYear,Age,Country,Ethn,Ethn1,Ethn2,Ethn3,Ethn4,Ethn5,EthnO,EthnOth,EthnDK,Race1,Race2,Race3,Race4,Race5,RaceO,RaceDK,RaceOth,Litho1,Educ,Marital,InsTyp1,InsTyp2,InsTyp3,InsTyp4,InsTypNo,InsTypO,InsTypDK,InsurOth,HHInc,NumSuprt,Litho2,Educ2,Multiracial
100,2,1952,51,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1745,4,2,,,1.0,,,,,,4,1,1745,3,0
102,2,1951,52,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1743,2,1,,,1.0,,,,,,4,2,1743,2,0
104,2,1951,52,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1801,3,5,,,1.0,,,,,,4,4,1801,3,0
105,2,1931,72,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1812,2,1,,1.0,1.0,,,88.0,,NEW YORK EPIC,3,2,1812,2,0
106,2,1954,49,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,3010,5,1,,,1.0,,,,,,5,4,3010,3,0
107,2,1936,69,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,3294,3,3,,1.0,1.0,,,,,,2,1,3294,3,0
109,2,1948,55,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,2736,5,1,,,1.0,,,,,,5,4,2736,3,0
110,2,1965,38,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1695,1,4,,,1.0,,,,,,1,1,1695,1,0
111,2,1944,59,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,2939,3,5,,,1.0,,,,,,2,1,2939,3,0
112,2,1935,68,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1796,3,1,,1.0,1.0,,,,,,3,2,1796,3,0
113,2,1940,63,UNITED STATES OF AMERICA,1,0,1,0,0,0,0,,0,0,0,0,0,0,88,0,,1701,2,3,,,1.0,,,,,,2,1,1701,2,0
115,2,1932,71,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1816,2,1,,,1.0,,,,,,2,2,1816,2,0
117,2,1960,43,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1689,2,1,,,1.0,,,,,,5,4,1689,2,0
118,2,1935,68,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1693,5,1,,1.0,1.0,,,,,,4,2,1693,3,0
119,2,1939,64,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1686,2,1,1.0,,,,,,,,4,2,1686,2,0
120,2,1929,74,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1799,1,5,,1.0,1.0,,,,,,2,1,1799,1,0
121,2,1954,49,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1744,2,1,,,1.0,,,,,,4,4,1744,2,0
122,2,1943,61,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,0,0,1,0,0,0,0,,1811,2,3,1.0,,,,,88.0,,SENECA NATION,1,2,1811,2,0
123,2,1953,51,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1688,3,1,,,1.0,,,,,,4,4,1688,3,0
124,2,1955,48,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1696,3,1,,,1.0,,,,,,4,3,1696,3,0
126,2,1926,76,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,2962,2,77,,,,,,,77.0,,6,1,2962,2,0
127,2,1948,56,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,0,1,0,0,0,0,0,,3008,3,5,1.0,,1.0,,,,,,1,1,3008,3,0
202,1,1950,53,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,201610,2,1,,,1.0,,,,,,4,3,201610,2,0
203,1,1970,33,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,201563,4,1,,,1.0,,,,,,5,4,201563,3,0
204,2,1942,66,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,13932,4,1,,1.0,,,,,,,4,2,13932,3,0
205,1,1954,50,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,201607,3,1,,,1.0,,,,,,5,3,201607,3,0
209,2,1927,76,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1802,5,6,,1.0,,,,88.0,,MUTUAL OF OMAHA,1,999,1802,3,0
210,2,1959,44,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,2961,2,5,,,1.0,,,,,,4,6,2961,2,0
211,2,1966,37,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,2937,2,5,1.0,,,,,,,,1,2,2937,2,0
212,2,1954,49,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1752,4,1,,,1.0,,,,,,3,2,1752,3,0
213,2,1925,78,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1817,2,6,,1.0,1.0,,,,,,2,1,1817,2,0
214,2,1958,45,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1818,4,5,,,1.0,,,,,,6,3,1818,3,0
215,2,1954,49,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,3209,3,1,,,1.0,,,,,,3,4,3209,3,0
216,2,1941,62,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1803,3,1,,,1.0,,,,,,5,2,1803,3,0
238,2,1962,41,UNITED STATES OF AMERICA,1,1,0,0,0,0,0,,0,1,0,0,0,0,0,0,,1751,2,1,,,1.0,,,,,,6,4,1751,2,0
239,2,1932,72,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1814,1,1,,1.0,,1.0,,,,,2,2,1814,1,0
240,2,1956,47,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,2918,4,1,,,1.0,,,,,,3,2,2918,3,0
243,2,1946,57,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,3007,3,1,,,1.0,,,,,,77,2,3007,3,0
244,2,1957,46,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1754,3,5,,,1.0,,,,,,3,4,1754,3,0
245,2,1957,46,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1795,3,6,1.0,,,,,,,,6,1,1795,3,0
246,2,1956,48,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1813,2,1,,,,1.0,,,,,3,2,1813,2,0
247,2,1939,64,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1699,4,1,,,1.0,,,,,,3,2,1699,3,0
249,2,1931,72,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,317,3,3,,,1.0,,,,,,2,1,317,3,0
250,2,1962,41,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1793,3,5,1.0,,,,,,,,2,2,1793,3,0
251,2,1976,27,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,0,1,0,0,0,0,0,,3024,3,6,1.0,,,,,,,,1,1,3024,3,0
254,2,1960,44,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,2936,2,1,,,,1.0,,,,,3,4,2936,2,0
255,2,1958,46,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1690,2,1,,,1.0,,,,,,3,4,1690,2,0
256,2,1938,65,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1692,2,3,,1.0,1.0,,,,,,2,1,1692,2,0
257,2,1952,51,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1797,1,1,,,1.0,,,,,,2,2,1797,1,0
258,2,1962,42,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,3295,4,6,,,1.0,,,,,,3,1,3295,3,0
259,2,1961,43,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1794,2,1,,,,1.0,,,,,4,4,1794,2,0
260,2,1951,53,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,311,1,1,,,1.0,,,,,,3,2,311,1,0
264,2,1959,44,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1741,4,1,,,1.0,,,,,,4,2,1741,3,0
266,2,1926,77,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1742,1,1,,1.0,,1.0,,,,,2,2,1742,1,0
268,2,1945,59,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1815,2,1,,,1.0,,,,,,4,2,1815,2,0
270,1,1953,51,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,201648,3,1,,,1.0,,,,,,6,4,201648,3,0
275,2,1942,62,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,2940,2,1,,,,1.0,,,,,3,2,2940,2,0
276,2,1940,64,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1753,3,1,,1.0,,,,,,,2,2,1753,3,0
278,2,1948,55,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,312,3,1,,,1.0,,,,,,5,4,312,3,0
279,2,1953,51,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1694,4,1,,,1.0,,,,,,3,7,1694,3,0
280,2,1956,47,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,308,2,1,,,1.0,,,,,,5,4,308,2,0
281,2,1934,69,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1755,2,6,,1.0,1.0,1.0,,,,,3,1,1755,2,0
282,2,1944,59,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,307,3,1,,,1.0,,,,,,5,2,307,3,0
285,2,1963,41,HAITI,0,66,66,66,66,66,66,,66,0,1,0,0,0,0,0,,1576,4,1,,,1.0,,,,,,5,4,1575,3,0
290,1,1944,60,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,200263,3,1,,,,1.0,,,,,4,3,200263,3,0
295,1,1957,47,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,200268,2,1,,,1.0,,,,,,4,4,200268,2,0
296,2,1970,34,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1775,3,1,,,,1.0,,,,,4,5,1775,3,0
327,2,1942,61,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,297,3,3,,,1.0,,,,,,5,2,297,3,0
343,2,1941,63,UNITED STATES OF AMERICA,0,66,66,66,66,66,88,,66,1,0,0,0,0,0,0,,2909,5,1,,,1.0,,,,,,4,2,2909,3,0
352,1,1945,59,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,0,1,0,0,0,0,0,,200977,5,1,,,1.0,,,,,,5,2,200977,3,0
353,1,1941,63,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,201555,1,5,1.0,1.0,,,,,,TEAMSTERS,1,1,201555,1,0
360,2,1945,59,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1786,1,1,,,1.0,,,,,,4,2,1786,1,0
361,2,1952,52,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1819,3,6,1.0,,,,,,,,1,1,1819,3,0
362,2,1961,42,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,0,1,0,0,0,0,0,,5047,3,6,1.0,,,,,88.0,,INDEPENDENT HEALTH,1,3,1820,3,0
363,2,1928,75,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1821,1,3,1.0,1.0,1.0,,,,,,1,1,1821,1,0
