QBarcode,Milk,MilkSv,SoyMlk,SoyMlkSv,RicMlk,RicMlkSv,Latte,LatteSv,Coffee,CoffeeSv,CofCrm,CofCrmSv,TomJc,TomJcSv,OrngJc,OrngJcSv,Jce100,Jce100Sv,CranJc,CranJcSv,FortJc,FortJcSv,Dsoda,DsodaSv,Rsoda,RsodaSv,Slmfst,SlmfstSv,Water,WaterSv,Beer,BeerSv,WinRed,WinRedSv,WinWht,WinWhtSv,Liquor,LiquorSv,Alc18,Alc30,Alc45,Alc60
100,6,2,0,2,99,2,4,2,0,2,8,2,1,2,4,2,4,2,4,2,1,2,0,2,4,2,0,2,7,2,0,2,3,2,2,2,0,2,1,1,1,66
102,6,2,0,2,0,2,3,1,5,2,5,1,4,3,6,3,4,3,3,3,4,3,6,2,6,2,2,2,7,3,1,2,1,2,1,2,1,2,0,0,0,66
104,0,2,0,2,0,2,0,2,0,2,7,2,0,2,5,1,3,1,3,1,0,2,7,2,0,2,2,2,8,2,1,2,0,2,0,2,0,2,0,2,1,66
105,0,2,0,2,0,2,0,2,9,3,9,1,0,2,1,1,0,2,0,2,0,2,1,1,0,2,0,2,7,3,0,2,1,1,1,1,0,2,0,0,5,5
106,4,2,0,2,0,2,0,2,8,2,7,2,0,2,4,2,2,2,0,2,0,2,6,2,0,2,0,2,6,2,0,2,2,2,2,2,0,2,0,1,1,66
107,0,2,0,2,0,2,1,1,7,1,7,1,0,2,1,1,1,1,1,1,0,2,0,2,0,2,0,2,7,1,0,2,6,1,0,2,0,2,1,1,1,2
109,0,2,0,2,0,2,0,2,0,2,0,2,0,2,6,2,3,2,3,2,3,2,7,2,0,2,0,2,6,2,0,2,0,2,6,2,1,2,0,1,2,66
110,1,1,0,2,0,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,66,66
111,2,1,0,2,0,2,0,2,7,2,0,2,1,2,99,1,0,2,2,2,0,2,1,2,4,1,0,2,7,3,0,2,0,2,0,2,0,2,0,2,0,66
112,0,2,0,2,0,2,0,2,4,1,0,2,0,2,0,2,1,1,4,1,0,2,3,1,0,2,0,2,4,1,3,1,3,1,0,2,0,2,0,2,2,2
113,0,2,0,2,0,2,0,2,0,2,0,2,1,1,5,3,2,3,1,3,5,2,0,2,1,1,0,2,7,3,0,2,0,2,0,2,0,2,0,0,0,0
115,4,1,0,2,0,2,4,1,7,1,7,1,0,2,6,1,5,1,5,1,2,1,0,2,2,1,0,2,7,1,1,1,2,1,1,1,1,1,0,1,1,99
