QBarcode,CurFry,CurVeg,CurFrt,CurEx
100,1,5,5,2
102,0,2,2,2
104,0,5,5,1
105,6,4,5,0
106,2,5,4,1
107,1,4,4,1
109,99,4,2,2
110,0,2,2,0
111,3,6,3,0
112,1,2,2,1
113,0,1,9,0
115,2,3,4,0
117,2,4,4,0
118,3,5,5,1
119,2,5,6,0
120,3,4,3,1
121,3,3,5,0
122,3,3,4,1
123,1,1,1,0
124,1,3,3,2
126,3,3,3,0
127,0,9,7,3
202,1,1,1,0
203,1,9,7,0
204,2,4,4,2
205,2,5,5,3
209,0,5,5,0
210,1,3,2,1
211,3,4,3,1
212,1,3,3,3
213,1,5,5,0
214,0,3,4,0
215,4,2,3,2
216,1,5,5,3
238,1,8,7,0
239,8,5,5,0
240,0,4,1,2
243,2,3,5,2
244,2,2,1,2
245,1,2,2,0
246,4,5,4,2
247,2,4,3,0
249,1,3,7,1
250,5,2,1,0
251,3,2,5,1
254,1,1,1,3
255,1,5,2,0
256,1,2,2,2
257,1,3,3,0
258,2,7,8,2
259,1,2,2,2
260,1,4,4,1
264,1,4,4,1
266,2,1,1,0
268,1,2,2,3
270,1,5,6,2
275,1,6,6,2
276,5,5,1,0
278,0,3,1,99
279,2,5,7,2
280,1,6,6,2
281,4,7,6,1
282,0,6,6,1
285,1,6,8,2
290,1,4,2,0
295,2,5,5,1
296,1,4,2,1
327,1,4,6,0
343,1,6,6,1
352,3,4,4,0
353,1,3,3,0
360,1,4,2,0
361,2,1,3,1
362,3,4,5,0
363,1,4,3,2
366,1,2,3,2
367,6,7,7,0
369,1,6,4,3
370,3,2,1,0
371,1,3,3,3
372,2,2,1,2
373,0,3,2,1
375,0,1,1,0
376,2,6,7,3
378,3,5,5,0
379,0,2,4,3
380,2,5,6,0
482,3,4,4,2
483,2,4,6,0
484,1,3,6,0
488,1,1,1,0
492,2,3,2,1
493,1,3,3,2
500,0,4,4,2
501,2,5,2,0
503,1,3,4,1
504,2,4,0,3
505,3,2,2,0
507,1,5,3,0
509,4,3,3,2
513,6,2,2,2
514,99,3,99,1
517,1,3,4,3
518,1,3,1,0
523,0,5,3,0
527,2,4,6,1
529,1,4,6,1
532,2,2,3,0
536,2,4,6,1
539,2,4,3,2
541,1,4,2,2
542,1,3,3,3
545,3,4,5,1
554,1,4,5,1
558,2,4,1,3
559,0,3,7,0
572,1,2,2,3
575,5,5,2,1
576,2,6,5,2
578,3,5,4,1
579,4,4,5,0
597,1,4,7,3
598,1,6,6,1
599,2,4,3,1
