QBarcode,JobPA,JobPAAge,JobPAYrs,JobPATyp,UsualPA,Walk,WalkYrs,WalkDays,WalkMin,WalkPace,Wgts,WgtsYrs,WgtsDays,WgtsMin,Yoga,YogaYrs,YogaDays,YogaMin,MldX,MldXYrs,MldXDays,MldXHrs,ModX,ModXYrs,ModXDays,ModXMin,ModX1,ModX2,ModX3,ModX4,ModX5,ModX6,ModX7,ModX8,ModX9,ModXO,XDays18,XDays30,XDays45,XDays60
100,99,999,999,,99,1,4,2,3,3,1,4,2,1,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,1,2,2,66
102,1,39,10,MOLDING,99,1,1,2,1,2,0,66,66,66,0,66,66,66,1,1,1,1,1,2,2,1,0,1,0,1,0,0,0,0,0,0,2,2,2,66
104,0,666,666,,4,1,3,2,3,2,1,3,2,1,0,66,66,66,1,3,2,2,1,2,2,2,1,0,0,0,0,0,1,0,0,0,2,3,2,66
105,1,20,42,HOUSEWIFE,4,1,1,99,1,1,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,2,2
106,99,999,999,,99,1,2,1,2,2,0,66,66,66,0,66,66,66,0,66,66,66,1,1,1,2,0,0,0,0,1,0,0,0,0,0,3,2,1,66
107,0,666,666,,3,1,99,99,1,1,0,66,66,66,0,66,66,66,1,99,99,99,0,66,66,66,66,66,66,66,66,66,66,66,66,66,0,99,99,99
109,1,31,10,RN,4,1,1,3,3,3,0,66,66,66,0,66,66,66,1,4,2,2,1,2,2,4,0,0,0,0,1,0,0,0,1,88,4,3,3,66
110,0,666,666,,4,1,1,2,2,3,1,1,2,2,0,66,66,66,1,4,1,1,1,1,2,2,99,99,99,99,99,1,99,1,99,99,0,4,66,66
111,99,999,999,,99,1,3,3,4,1,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,2,2,2,66
112,1,35,30,BUSDRIVER,99,1,3,1,2,2,0,66,66,66,1,99,99,99,1,3,1,2,0,66,66,66,66,66,66,66,66,66,66,66,66,66,2,0,0,99
