QBarcode,EvrPltry,PltrySkn,EvrMeat,MeatFat,EvrBrgr,Brgr1,Brgr2,Brgr3,Brgr4,BrgrDK,EvrMilkC,MilkCer1,MilkCer2,MilkCer3,MilkCer4,MilkCer5,MilkCer6,MilkCer7,MilkCer8,MilkCDK,EvrMilkD,MlkDrnk1,MlkDrnk2,MlkDrnk3,MlkDrnk4,MlkDrnk5,MlkDrnk6,MlkDDK,EvrColdC,ColdCer1,ColdCer2,ColdCer3,ColdCer4,CookFat1,CookFat2,CookFat3,CookFat4,CookFat5,CookFat6,CookFat7,CookFat8,CookFatN,TblFat1,TblFat2,TblFat3,TblFat4,TblFat5,TblFat6,TblFatNo,Dress1,Dress2,Dress3,DressNo,Mayo1,Mayo2,Mayo3,MayoNo,Cookies,LFCookie,FJAny,FJVitC,FJVitE,FJCalc,FJNone,FJDK,NumEat
100,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,2,1,0,0,1,0,0,5
102,1,3,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,5
104,1,2,1,2,1,0,0,1,0,0,0,66,66,66,66,66,66,66,66,66,0,66,66,66,66,66,66,66,0,66,66,66,66,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,3,1,0,0,1,0,0,1
105,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,99,1,0,0,0,0,77,5
106,1,2,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,3
107,1,0,1,2,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,2,1,0,0,0,0,77,4
109,1,0,1,0,1,0,0,1,0,0,1,66,66,66,66,1,66,66,66,66,0,66,66,66,66,66,66,66,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,2,1,1,0,1,0,0,3
110,1,1,0,66,0,66,66,66,66,66,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,4,1,1,1,1,0,0,1
111,1,2,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,2,1,1,1,1,0,0,3
112,1,3,1,1,1,0,1,0,0,0,1,66,1,66,66,66,66,66,66,66,0,66,66,66,66,66,66,66,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,2,1,0,0,0,0,77,2
113,1,2,1,0,1,0,0,1,0,0,1,66,1,66,66,66,66,66,66,66,0,66,66,66,66,66,66,66,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,4,1,0,0,1,0,0,2
115,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,3,1,1,0,1,0,0,5
117,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,2,1,0,0,0,1,0,2
118,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,3,1,0,0,1,0,0,6
119,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,4
120,1,4,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,99,1,1,0,0,0,0,4
121,1,1,1,3,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,2,1,0,0,1,0,0,4
122,1,2,1,4,1,0,0,0,0,77,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,2
123,1,4,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,66,66,66,66,66,3
124,1,2,1,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,77,4
126,1,1,1,1,1,0,0,0,0,77,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,99,1,0,0,0,0,0,5
