QBarcode,ColdC,ColdCSv,CookC,CookCSv,MilkC,MilkCSv,Pncak,PncakSv,Muffn,MuffnSv,WhtBrd,WhtBrdSv,ButBrd,ButBrdSv,Jam,JamSv,Gbar,GbarSv,Sbar,SbarSv,LFChip,LFChipSv,RChip,RChipSv,LFCrk,LFCrkSv,RCrk,RCrkSv,Pbutt,PbuttSv,Eggs,EggsSv,Bacon,BaconSv,LFDog,LFDogSv,RDog,RDogSv,LFLnch,LFLnchSv,RLnch,RLnchSv,Beef,BeefSv,Tuna,TunaSv,GrndMt,GrndMtSv,Liver,LiverSv,FryCkn,FryCknSv,RstCkn,RstCknSv,FryFsh,FryFshSv,ShlFsh,ShlFshSv,WhtFsh,WhtFshSv,DrkFsh,DrkFshSv,Gravy,GravySv,Ktchup,KtchupSv,Salsa,SalsaSv,Mayo,MayoSv,Stew,StewSv,Chili,ChiliSv,Asian,AsianSv,SpMt,SpMtSv,SpTom,SpTomSv,SpOil,SpOilSv,Tofu,TofuSv,Pizza,PizzaSv,Taco,TacoSv,BrthSp,BrthSpSv,CrmSp,CrmSpSv,BeanSp,BeanSpSv,Miso,MisoSv,Ramen,RamenSv,Cottag,CottagSv,LFChs,LFChsSv,OthChs,OthChsSv,Yogurt,YogurtSv,Salad,SaladSv,Dress,DressSv,Tomato,TomatoSv,Carrot,CarrotSv,Pepper,PepperSv,Brocc,BroccSv,Califl,CaliflSv,Grnbn,GrnbnSv,Peas,PeasSv,Slaw,SlawSv,SumSq,SumSqSv,WntrSq,WntrSqSv,Greens,GreensSv,Onion,OnionSv,Garlic,GarlicSv,Avcdo,AvcdoSv,PotFry,PotFrySv,PotBol,PotBolSv,Beans,BeansSv,Corn,CornSv,MayoSl,MayoSlSv,Grains,GrainsSv,AddFat,AddFatSv,Apple,AppleSv,Banana,BananaSv,Peach,PeachSv,Aprct,AprctSv,DryFrt,DryFrtSv,Orang,OrangSv,Berry,BerrySv,Melon,MelonSv,FrtOth,FrtOthSv,IceCrm,IceCrmSv,LFFrzn,LFFrznSv,Pudng,PudngSv,Donut,DonutSv,CkCak,CkCakSv,Choc,ChocSv
100,6,2,5,2,7,1,4,3,2,2,4,3,8,2,4,2,0,2,0,2,5,2,3,2,5,2,4,2,4,2,5,2,3,2,4,2,3,2,5,2,2,2,5,2,4,2,5,2,0,2,0,2,5,2,0,2,0,2,3,2,2,2,3,2,0,2,2,2,5,2,5,2,3,2,0,2,5,2,4,2,3,2,0,2,3,2,0,2,3,2,2,2,3,2,0,2,0,2,2,2,2,2,4,2,0,2,5,2,5,2,5,2,5,2,0,2,4,2,4,2,4,2,3,2,3,2,2,2,3,2,2,2,0,2,4,2,0,2,2,2,5,2,1,2,3,2,4,2,3,2,5,2,4,2,7,2,4,2,0,2,4,2,4,2,5,2,4,2,4,2,4,2,4,3,4,2,4,2,5,2,5,2
102,6,2,7,2,7,1,4,2,3,2,6,2,6,2,4,2,0,2,0,2,5,2,5,2,4,1,5,2,4,2,5,2,5,2,5,2,3,2,4,2,4,2,5,2,4,2,6,2,0,2,5,2,5,2,4,2,0,2,4,3,1,1,2,2,6,2,3,2,5,2,4,2,4,2,3,2,4,2,4,2,4,2,0,2,4,2,2,2,3,2,3,2,0,2,0,2,0,2,4,2,3,2,4,2,3,2,4,2,4,2,4,2,3,2,4,2,4,2,4,2,4,2,4,2,4,2,3,1,3,1,3,1,4,2,4,2,0,2,6,2,4,2,3,1,99,2,6,1,3,2,7,2,3,2,3,2,3,2,1,1,1,1,2,1,2,1,3,2,2,1,6,2,3,2,3,2,7,2,6,2,4,2
104,0,2,0,2,0,2,0,2,1,2,5,2,5,1,5,1,0,2,0,2,3,2,2,2,0,2,1,1,3,2,4,1,0,2,5,2,2,2,3,2,3,2,3,2,2,2,3,2,1,1,3,2,3,2,2,1,3,2,2,2,2,2,3,2,4,1,2,1,2,1,2,2,2,1,2,2,2,2,4,2,4,2,0,2,3,2,2,2,1,1,1,1,1,1,0,2,2,1,1,1,2,1,3,1,4,1,5,1,5,1,5,1,0,2,0,2,4,1,4,1,4,1,4,1,0,2,0,2,1,1,0,2,0,2,4,1,0,2,0,2,3,1,2,1,4,1,5,2,5,2,5,2,3,2,3,2,2,1,0,2,0,2,2,2,2,1,2,1,2,1,2,2,4,2,0,2,0,2,2,1,2,1
105,1,1,6,2,6,2,6,2,0,2,9,1,99,2,5,1,7,3,0,2,3,1,3,1,8,1,8,1,0,2,99,1,4,1,4,1,3,1,7,1,6,1,6,1,4,1,5,2,99,2,2,1,5,1,0,2,4,1,5,2,4,1,3,1,5,1,0,2,4,1,4,2,0,2,0,2,4,2,4,1,3,2,0,2,2,2,0,2,5,3,0,2,3,1,99,2,3,1,0,2,3,2,7,2,0,2,0,2,0,2,7,2,0,2,5,1,5,3,5,2,4,1,4,1,4,1,7,1,7,2,6,2,1,1,0,2,0,2,4,1,5,2,3,1,0,2,4,1,5,2,3,2,2,1,6,1,5,1,0,2,0,2,0,2,7,1,4,3,5,3,4,3,0,2,0,2,99,1,9,3,8,1
106,3,2,0,2,3,2,2,2,2,2,8,2,3,1,2,1,0,2,0,2,0,2,3,3,0,2,4,2,8,2,9,2,1,1,3,2,2,2,4,2,0,2,5,2,4,3,4,2,0,2,2,2,4,2,0,2,0,2,1,2,0,2,1,1,5,1,0,2,6,1,4,2,0,2,4,2,4,2,0,2,4,2,0,2,4,2,2,2,3,2,3,2,0,2,0,2,0,2,0,2,0,2,6,3,5,2,5,3,5,2,4,2,4,2,0,2,2,2,0,2,3,2,5,2,3,2,1,2,1,2,3,2,0,2,0,2,0,2,3,2,4,2,0,2,6,2,1,2,3,2,8,2,6,2,6,2,5,2,0,2,0,2,2,2,5,2,0,2,6,2,6,3,1,2,5,2,3,2,3,2,4,2
107,5,1,3,1,5,1,1,1,1,1,4,1,4,1,4,2,1,1,1,1,1,1,1,1,3,1,3,1,3,1,6,1,3,1,2,1,1,1,1,1,1,1,3,1,3,1,3,1,0,2,0,2,6,1,0,2,8,2,4,1,0,2,3,1,3,1,1,1,3,1,0,2,2,1,3,1,3,1,3,1,3,1,0,2,3,1,0,2,3,1,1,1,2,1,0,2,0,2,6,1,6,1,6,1,6,1,7,2,7,1,3,1,5,1,5,1,5,1,5,1,3,1,2,1,2,1,3,1,3,1,3,1,6,1,6,1,0,2,3,1,3,1,3,1,1,1,1,1,3,1,3,1,5,1,4,1,5,1,2,1,2,1,5,1,5,1,5,1,5,1,3,2,3,2,3,1,5,1,5,1,5,1
109,1,2,1,2,1,2,1,2,5,2,4,2,4,2,1,2,3,2,0,2,1,2,3,2,1,2,3,2,4,2,1,2,1,2,1,2,1,2,1,2,1,2,5,2,1,2,4,2,0,2,1,2,5,2,1,2,2,2,1,2,2,2,4,2,5,2,3,2,3,2,4,2,3,2,2,2,4,2,4,2,4,2,0,2,4,2,3,2,1,2,1,2,1,2,0,2,0,2,1,2,1,2,4,2,1,2,7,2,7,2,3,2,7,2,3,2,5,2,1,2,1,2,3,2,3,2,3,2,3,2,1,2,6,2,6,2,1,2,5,2,5,2,1,2,6,1,2,2,5,2,6,2,3,2,3,2,3,2,2,2,2,2,2,2,3,2,3,2,3,2,2,2,1,2,1,2,2,2,5,2,4,2
110,3,1,1,1,1,1,0,2,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,0,2,0,2,0,2,0,2,1,1,0,2,1,1,0,2,1,1,1,1,1,1,1,1,1,1,0,2,0,2,0,2,1,1,0,2,0,2,3,2,0,2,1,1,0,2,0,2,1,1,1,1,1,1,1,1,1,1,0,2,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,4,1,4,1,4,1,2,1,2,1,5,1,5,1,5,1,0,2,0,2,2,1,1,2,3,1,1,1,2,1,1,1,0,2,1,1,0,2,1,1,0,2,4,1,2,1,3,1,1,1,1,1,3,1,3,1,1,1,0,2,0,2,3,1,4,1,0,2,4,1,1,1,3,1,1,1,3,1,2,1,0,2,0,2,3,1,0,2,3,1,0,2,0,2,0,2,0,2,4,1,5,1,2,2,8,1,2,2,2,2,2,2,2,2,3,1,4,2,5,3,99,2,99,2,99,2,99,2,99,2,99,2,99,2,99,2,99,2,99,2,99,2,99,2,99,2,99,2,99,2,99,2,3,2,2,2,1,1,1,1,0,2,3,2,2,2,2,2,4,2,1,1,0,2,0,2,1,1,1,1,3,1
112,3,1,0,2,0,2,1,1,1,1,4,1,3,1,0,2,0,2,0,2,3,1,2,1,5,1,5,1,4,1,1,1,1,1,2,1,1,1,1,1,0,2,3,1,3,1,4,2,4,2,0,2,4,1,0,2,1,1,2,1,2,1,4,2,4,2,4,1,4,2,1,1,2,1,0,2,1,1,0,2,0,2,0,2,2,1,99,2,99,2,1,1,1,1,0,2,0,2,1,1,1,1,2,2,0,2,3,1,3,1,2,1,3,1,3,1,3,1,3,1,3,1,3,1,0,2,1,1,3,1,3,1,5,1,4,1,0,2,1,1,3,1,3,1,0,2,1,1,3,1,3,1,1,1,1,1,0,2,0,2,1,1,0,2,0,2,2,1,3,1,1,1,0,2,0,2,1,1,1,1,2,1
